group,oldest_pull,pulls_total,commits_total
0,1,1,1
1,2,1,1
2,30,1,1
3,35,1,6
4,37,1,1
5,40,1,1
6,42,1,1
7,46,1,1
8,45,1,1
9,48,1,1
10,54,1,3
11,59,1,1
12,55,1,1
13,65,1,1
14,52,1,1
15,71,1,1
16,58,1,1
17,84,1,1
18,90,1,1
19,95,1,1
20,50,1,1
21,99,1,1
22,94,1,1
23,105,1,2
24,102,1,1
25,121,1,1
26,129,1,1
27,134,1,1
28,133,1,1
29,122,1,1
30,139,1,1
31,115,1,1
32,113,1,1
33,146,1,1
34,147,1,1
35,145,1,1
36,106,1,1
37,154,1,1
38,62,1,1
39,155,1,1
40,131,1,1
41,172,1,1
42,87,1,1
43,177,1,1
44,165,1,1
45,187,1,1
46,183,1,1
47,142,1,1
48,173,1,1
49,120,1,1
50,152,1,1
51,213,1,1
52,196,1,1
53,170,1,1
54,219,1,1
55,221,1,1
56,197,1,1
57,207,1,1
58,227,1,1
59,228,1,1
60,231,1,1
61,233,1,1
62,222,1,1
63,240,1,1
64,239,1,1
65,212,1,1
66,260,1,1
67,263,1,1
68,255,1,1
69,253,1,1
70,247,1,1
71,236,1,1
72,266,1,1
73,269,1,1
74,270,1,1
75,271,1,1
76,275,1,1
77,276,1,1
78,278,1,1
79,252,1,1
80,277,1,1
81,280,1,1
82,289,1,1
83,296,1,1
84,297,1,1
85,294,1,1
86,301,1,1
87,291,1,1
88,304,1,1
89,310,1,1
90,248,1,1
91,316,1,1
92,109,1,1
93,61,1,1
94,335,1,1
95,185,1,1
96,286,1,1
97,284,1,1
98,327,1,1
99,339,1,1
100,324,1,1
101,348,1,1
102,338,1,1
103,351,1,1
104,355,1,1
105,356,1,1
106,370,1,1
107,369,1,1
108,368,1,1
109,372,1,1
110,364,1,1
111,363,1,1
112,385,1,1
113,386,1,1
114,295,1,1
115,377,1,1
116,413,1,1
117,392,1,1
118,419,1,1
119,379,1,1
120,422,1,1
121,397,1,1
122,425,1,1
123,394,1,1
124,362,1,1
125,427,1,1
126,430,1,1
127,439,1,1
128,437,1,1
129,393,1,1
130,405,1,1
131,452,1,1
132,464,1,1
133,454,1,1
134,447,1,1
135,455,1,1
136,442,1,1
137,468,1,2
138,476,1,1
139,463,1,1
140,446,1,1
141,467,1,1
142,644,1,3
143,478,1,1
144,486,1,1
145,490,1,1
146,488,1,1
147,448,1,1
148,462,1,1
149,496,1,1
150,499,1,1
151,516,1,1
152,491,1,1
153,359,1,1
154,510,1,1
155,505,1,1
156,428,1,1
157,527,1,1
158,514,1,1
159,461,1,1
160,520,1,2
161,485,1,1
162,472,1,1
163,522,1,1
164,529,1,1
165,542,1,1
166,539,1,1
167,550,1,1
168,566,1,1
169,574,1,1
170,555,1,1
171,572,1,1
172,557,1,1
173,579,1,1
174,548,1,1
175,575,1,1
176,592,1,1
177,587,1,1
178,594,1,1
179,610,1,1
180,597,1,1
181,545,1,1
182,528,1,1
183,611,1,1
184,614,1,1
185,624,1,1
186,626,1,1
187,616,1,1
188,621,1,1
189,625,1,1
190,636,1,1
191,634,1,1
192,635,1,1
193,643,1,1
194,645,1,1
195,651,1,1
196,562,1,1
197,652,1,1
198,656,1,1
199,775,1,1
200,647,1,1
201,641,1,1
202,662,1,1
203,620,1,1
204,622,1,1
205,665,1,1
206,668,1,1
207,672,1,1
208,671,1,1
209,653,1,1
210,681,1,1
211,677,1,1
212,701,1,1
213,690,1,1
214,688,1,1
215,698,1,1
216,703,1,1
217,700,1,1
218,722,1,1
219,716,1,1
220,667,1,1
221,723,1,1
222,706,1,1
223,750,1,1
224,734,1,1
225,684,1,1
226,727,1,1
227,729,1,1
228,691,1,1
229,767,1,1
230,704,1,5
231,640,1,1
232,774,1,1
233,782,1,1
234,753,1,1
235,735,1,1
236,771,1,1
237,788,1,1
238,790,1,1
239,757,1,1
240,759,1,1
241,778,1,1
242,795,1,1
243,811,1,1
244,813,1,1
245,797,1,1
246,808,1,1
247,773,1,1
248,818,1,1
249,822,1,1
250,1036,1,1
251,768,1,1
252,812,1,1
253,837,1,1
254,809,1,1
255,814,1,1
256,801,1,1
257,728,1,1
258,845,1,1
259,852,1,1
260,843,1,1
261,840,1,1
262,817,1,1
263,851,1,1
264,849,1,1
265,842,1,1
266,874,1,1
267,870,1,1
268,869,1,1
269,879,1,1
270,820,1,1
271,857,1,1
272,882,1,1
273,881,1,1
274,856,1,1
275,867,1,1
276,858,1,1
277,860,1,1
278,880,1,1
279,900,1,1
280,901,1,1
281,865,1,1
282,909,1,1
283,914,1,1
284,887,1,1
285,896,1,1
286,922,1,1
287,743,1,1
288,926,1,1
289,920,1,1
290,923,1,1
291,899,1,1
292,886,1,1
293,937,1,2
294,931,1,1
295,928,1,1
296,855,1,1
297,917,1,1
298,876,1,1
299,863,1,1
300,888,1,1
301,862,1,1
302,912,1,1
303,963,1,1
304,944,1,1
305,961,1,1
306,962,1,1
307,943,1,1
308,953,1,2
309,981,1,1
310,967,1,1
311,973,1,1
312,940,1,1
313,974,1,1
314,954,1,1
315,993,1,1
316,999,1,1
317,972,1,1
318,1007,1,1
319,1002,1,1
320,998,1,1
321,970,1,1
322,853,1,2
323,1025,1,2
324,957,1,1
325,996,1,1
326,1012,1,1
327,1009,1,1
328,1022,1,1
329,991,1,1
330,1020,1,1
331,1005,1,1
332,1030,1,1
333,942,1,1
334,1014,1,1
335,1029,1,1
336,1017,1,1
337,1037,1,1
338,1058,1,1
339,1035,1,1
340,1070,1,1
341,1074,1,1
342,939,1,1
343,800,1,1
344,1077,1,1
345,1080,1,1
346,1001,1,1
347,1075,1,1
348,1079,1,1
349,979,1,1
350,1082,1,1
351,1086,1,1
352,1083,1,1
353,1084,1,1
354,1088,1,1
355,960,1,1
356,1068,1,1
357,1099,1,1
358,1091,1,1
359,1102,1,1
360,1076,1,1
361,1093,1,1
362,1024,1,1
363,1114,1,1
364,1117,1,1
365,965,1,1
366,1032,1,1
367,977,1,1
368,1123,1,1
369,1033,1,1
370,1118,1,1
371,1115,1,1
372,1089,1,1
373,1140,1,1
374,1135,1,1
375,1139,1,1
376,1142,1,1
377,1149,1,1
378,1105,1,1
379,1147,1,1
380,1141,1,1
381,1155,1,1
382,1111,1,1
383,1122,1,1
384,1126,1,1
385,799,1,1
386,1134,1,1
387,1145,1,1
388,1151,1,1
389,1161,1,1
390,1163,1,1
391,1182,1,1
392,1063,1,2
393,1179,1,1
394,1184,1,1
395,992,1,1
396,1016,1,1
397,1191,1,1
398,947,1,1
399,1193,1,1
400,952,1,1
401,1192,1,1
402,1200,1,1
403,1143,1,1
404,1008,1,1
405,1210,1,1
406,1169,1,1
407,1212,1,1
408,1172,1,1
409,1227,1,1
410,1224,1,1
411,1234,1,1
412,1189,1,1
413,1160,1,1
414,1238,1,1
415,1243,1,1
416,1206,1,1
417,1258,1,1
418,1229,1,1
419,1167,1,1
420,1261,1,1
421,1218,1,1
422,1277,1,1
423,1275,1,1
424,1252,1,1
425,1290,1,1
426,1276,1,1
427,1291,1,1
428,1311,1,1
429,1281,1,1
430,1293,1,2
431,1292,1,1
432,1217,1,1
433,1269,1,1
434,1236,1,1
435,1324,1,1
436,1327,1,1
437,1310,1,1
438,1303,1,1
439,1285,1,1
440,1294,1,1
441,1266,1,1
442,1305,1,1
443,1299,1,1
444,1341,1,1
445,1301,1,1
446,1350,1,1
447,1347,1,1
448,1353,1,1
449,1274,1,1
450,1112,1,1
451,1365,1,1
452,1333,1,1
453,1355,1,1
454,1249,1,1
455,1377,1,1
456,1361,1,1
457,1208,1,1
458,1306,1,1
459,1368,1,1
460,1370,1,1
461,1320,1,1
462,1388,1,1
463,1343,1,1
464,1263,1,1
465,1390,1,1
466,1378,1,1
467,1469,1,3
468,1309,1,1
469,1381,1,1
470,1400,1,1
471,1352,1,1
472,1412,1,1
473,1427,1,1
474,1418,1,1
475,1405,1,1
476,1430,1,1
477,1433,1,1
478,1407,1,1
479,1432,1,1
480,1328,1,1
481,1437,1,1
482,1385,1,1
483,1448,1,1
484,1321,1,1
485,1371,1,1
486,1457,1,1
487,1428,1,1
488,1455,1,1
489,1458,1,1
490,1439,1,1
491,1406,1,1
492,1254,1,1
493,1460,1,1
494,1467,1,1
495,1470,1,1
496,1454,1,1
497,1450,1,1
498,1177,1,1
499,1475,1,1
500,1453,1,1
501,1494,1,1
502,1461,1,1
503,1509,1,1
504,1486,1,1
505,1512,1,2
506,1499,1,1
507,1513,1,1
508,1497,1,1
509,1511,1,1
510,1520,1,1
511,1507,1,1
512,1517,1,1
513,1420,1,1
514,1518,1,1
515,1535,1,1
516,1530,1,1
517,1516,1,1
518,1546,1,1
519,1527,1,1
520,1456,1,1
521,1417,1,1
522,1543,1,1
523,1551,1,1
524,1021,1,1
525,1538,1,1
526,1561,1,1
527,1555,1,1
528,1563,1,1
529,1536,1,1
530,1545,1,1
531,1569,1,1
532,1558,1,1
533,1452,1,1
534,1552,1,2
535,1573,1,1
536,1559,1,1
537,1505,1,1
538,1588,1,1
539,1593,1,1
540,1524,1,1
541,1587,1,1
542,1598,1,1
543,1590,1,1
544,1584,1,1
545,1392,1,1
546,1597,1,1
547,1601,1,1
548,1571,1,1
549,1413,1,1
550,1476,1,1
551,1612,1,1
552,1605,1,1
553,1582,1,1
554,1621,1,1
555,1580,1,1
556,1607,1,1
557,1619,1,1
558,1414,1,1
559,1647,1,1
560,1638,1,1
561,1606,1,1
562,1749,1,1
563,1626,1,1
564,1642,1,1
565,1574,1,1
566,1583,1,1
567,1592,1,1
568,1624,1,1
569,1637,1,1
570,1416,1,1
571,1564,1,1
572,1650,1,1
573,1578,1,1
574,1641,1,1
575,1594,1,1
576,1570,1,1
577,1674,1,1
578,1655,1,1
579,1659,1,1
580,1566,1,1
581,1586,1,1
582,1410,1,1
583,1664,1,1
584,1678,1,1
585,1599,1,1
586,1676,1,1
587,1670,1,1
588,1680,1,1
589,1658,1,1
590,1691,1,1
591,1646,1,1
592,1687,1,1
593,1686,1,1
594,1722,1,1
595,1709,1,1
596,1447,1,1
597,1724,1,1
598,1682,1,1
599,1742,1,1
600,1692,1,1
601,1744,1,1
602,1714,1,1
603,1735,1,1
604,1683,1,1
605,1733,1,1
606,1731,1,1
607,1727,1,1
608,1728,1,1
609,1677,1,1
610,1740,1,1
611,1750,1,1
612,1745,1,1
613,1700,1,1
614,1757,1,1
615,1777,1,1
616,1663,1,1
617,1775,1,1
618,1782,1,1
619,1786,1,1
620,1792,1,1
621,1759,1,1
622,1785,1,1
623,1717,1,1
624,1654,1,1
625,1805,1,1
626,1801,1,1
627,1762,1,1
628,1788,1,1
629,1804,1,1
630,1808,1,1
631,1810,1,1
632,1657,1,1
633,1814,1,1
634,2004,1,3
635,1739,1,3
636,1828,1,1
637,1822,1,1
638,1780,1,1
639,1838,1,1
640,1835,1,1
641,1812,1,1
642,1821,1,1
643,1833,1,1
644,1784,1,1
645,1842,1,1
646,1813,1,1
647,1845,1,1
648,1849,1,1
649,1836,1,1
650,1837,1,1
651,1861,1,1
652,1848,1,1
653,1864,1,1
654,1862,1,1
655,1747,1,1
656,1858,1,1
657,1865,1,1
658,1832,1,1
659,1863,1,1
660,1856,1,1
661,1811,1,1
662,1870,1,1
663,1872,1,1
664,1883,1,1
665,1869,1,1
666,1816,1,1
667,1859,1,1
668,1885,1,1
669,1879,1,1
670,1876,1,1
671,1893,1,1
672,1877,1,1
673,1897,1,1
674,1894,1,1
675,1896,1,2
676,1902,1,1
677,1888,1,1
678,1905,1,1
679,1892,1,1
680,1918,1,1
681,1917,1,1
682,1926,1,1
683,1920,1,1
684,1914,1,1
685,1873,1,1
686,1932,1,1
687,1898,1,1
688,1910,1,1
689,1844,1,1
690,1928,1,1
691,1938,1,1
692,1793,1,1
693,1924,1,1
694,1847,1,1
695,1855,1,1
696,1878,1,1
697,1710,1,1
698,1901,1,1
699,1956,1,1
700,1966,1,1
701,1963,1,1
702,1946,1,1
703,1989,1,1
704,1988,1,1
705,1994,1,1
706,1934,1,1
707,1929,1,1
708,1998,1,1
709,1930,1,1
710,2005,1,1
711,2001,1,1
712,1979,1,1
713,2008,1,2
714,2011,1,1
715,1922,1,1
716,2012,1,1
717,3324,1,213
718,2024,1,1
719,2020,1,1
720,2021,1,1
721,2023,1,1
722,2030,1,1
723,2029,1,1
724,2032,1,1
725,2027,1,1
726,2015,1,1
727,2033,1,1
728,2013,1,1
729,2043,1,1
730,2036,1,1
731,2017,1,1
732,2007,1,1
733,2060,1,1
734,2061,1,1
735,1944,1,1
736,1953,1,1
737,2076,1,1
738,2073,1,1
739,2058,1,1
740,2081,1,1
741,2082,1,1
742,2105,1,1
743,2320,1,2
744,2071,1,1
745,2080,1,1
746,2018,1,1
747,2088,1,1
748,2031,1,1
749,2091,1,1
750,1656,1,1
751,2066,1,1
752,2113,1,1
753,2117,1,1
754,2107,1,1
755,2047,1,3
756,2112,1,1
757,2108,1,1
758,2057,1,1
759,2128,1,1
760,2119,1,1
761,2130,1,1
762,2110,1,1
763,2139,1,1
764,2049,1,1
765,2138,1,1
766,2140,1,1
767,2123,1,1
768,2098,1,1
769,2109,1,1
770,2132,1,1
771,2136,1,1
772,2153,1,1
773,2101,1,1
774,2131,1,1
775,2160,1,1
776,2158,1,1
777,2161,1,1
778,2125,1,1
779,2143,1,1
780,2093,1,7
781,2111,1,1
782,2163,1,6
783,2170,1,1
784,2169,1,1
785,1846,1,1
786,2182,1,1
787,2152,1,1
788,1975,1,1
789,2157,1,1
790,2142,1,1
791,2195,1,1
792,2199,1,1
793,2176,1,1
794,2206,1,1
795,2192,1,1
796,2205,1,1
797,2115,1,1
798,2202,1,2
799,2212,1,1
800,2194,1,1
801,2215,1,1
802,2173,1,1
803,2221,1,1
804,2189,1,1
805,2190,1,1
806,2226,1,1
807,2225,1,1
808,2214,1,1
809,2227,1,1
810,2230,1,1
811,2228,1,1
812,2146,1,1
813,2224,1,1
814,2236,1,1
815,2059,1,1
816,2246,1,1
817,2220,1,3
818,2234,1,1
819,2188,1,1
820,2200,1,1
821,2204,1,1
822,2219,1,1
823,2245,1,1
824,2259,1,1
825,2261,1,2
826,2254,1,1
827,2287,1,1
828,1951,1,1
829,2285,1,1
830,2262,1,1
831,2232,1,1
832,2250,1,1
833,2295,1,1
834,2290,1,1
835,2209,1,1
836,2241,1,1
837,2300,1,1
838,2304,1,1
839,2239,1,1
840,2217,1,1
841,2284,1,1
842,2308,1,1
843,2296,1,1
844,2307,1,1
845,2302,1,3
846,2321,1,1
847,2317,1,1
848,2324,1,1
849,2331,1,1
850,2329,1,1
851,2085,1,1
852,2309,1,1
853,2343,1,1
854,2345,1,1
855,2351,1,1
856,2339,1,1
857,2124,1,1
858,2243,1,1
859,2359,1,1
860,2355,1,1
861,2347,1,1
862,2222,1,1
863,2312,1,1
864,2334,1,1
865,2349,1,1
866,2357,1,1
867,2340,1,2
868,2362,1,1
869,2360,1,1
870,2256,1,1
871,2395,1,1
872,1596,1,1
873,2382,1,1
874,2380,1,1
875,2392,1,1
876,2323,1,1
877,2405,1,1
878,2386,1,1
879,2404,1,1
880,2383,1,1
881,2372,1,1
882,2387,1,1
883,2414,1,1
884,2757,1,2
885,2364,1,1
886,2409,1,1
887,2363,1,1
888,2416,1,1
889,2366,1,1
890,2388,1,1
891,2393,1,1
892,2424,1,1
893,2427,1,1
894,2406,1,1
895,2436,1,1
896,2439,1,1
897,2441,1,1
898,2429,1,1
899,2426,1,1
900,2365,1,1
901,2453,1,1
902,2450,1,1
903,2369,1,1
904,2449,1,1
905,2367,1,1
906,2411,1,1
907,2394,1,4
908,2435,1,1
909,2451,1,1
910,2481,1,1
911,2431,1,1
912,2470,1,1
913,2434,1,1
914,2475,1,1
915,2442,1,2
916,2344,1,1
917,2494,1,1
918,2402,1,1
919,2491,1,1
920,2507,1,1
921,2509,1,1
922,2503,1,1
923,2526,1,1
924,2510,1,1
925,2529,1,1
926,2448,1,1
927,2524,1,1
928,2390,1,2
929,2531,1,1
930,2506,1,1
931,2518,1,1
932,2548,1,1
933,2525,1,1
934,2547,1,1
935,2532,1,1
936,2517,1,1
937,2556,1,1
938,2476,1,1
939,2539,1,1
940,2546,1,1
941,2528,1,1
942,2564,1,1
943,2497,1,1
944,2537,1,1
945,2558,1,1
946,2578,1,1
947,2574,1,1
948,2543,1,1
949,2563,1,1
950,2541,1,1
951,2577,1,1
952,2505,1,1
953,2600,1,1
954,2607,1,1
955,2605,1,1
956,2579,1,1
957,2562,1,1
958,2595,1,1
959,2608,1,1
960,2601,1,1
961,2516,1,1
962,2511,1,1
963,2544,1,1
964,2625,1,1
965,2235,1,1
966,2643,1,1
967,2417,1,1
968,2611,1,1
969,2666,1,1
970,2651,1,1
971,2648,1,1
972,2641,1,1
973,2635,1,1
974,2632,1,1
975,2649,1,1
976,2667,1,1
977,2636,1,1
978,2561,1,1
979,2580,1,1
980,2647,1,1
981,2682,1,1
982,2584,1,1
983,2569,1,2
984,2630,1,1
985,2674,1,1
986,2684,1,1
987,2691,1,1
988,2705,1,1
989,2690,1,1
990,2706,1,1
991,2701,1,1
992,2703,1,1
993,2646,1,1
994,2602,1,1
995,2665,1,4
996,2673,1,1
997,2661,1,1
998,2688,1,1
999,2707,1,1
1000,2675,1,1
1001,2715,1,1
1002,2428,1,1
1003,2638,1,1
1004,2712,1,1
1005,2722,1,1
1006,2504,1,1
1007,2741,1,1
1008,2710,1,1
1009,2729,1,1
1010,2727,1,1
1011,2742,1,1
1012,2698,1,1
1013,2747,1,1
1014,2724,1,1
1015,2740,1,1
1016,2730,1,1
1017,2709,1,1
1018,2716,1,1
1019,2745,1,1
1020,2718,1,1
1021,2568,1,1
1022,2692,1,1
1023,2731,1,1
1024,2758,1,1
1025,2755,1,1
1026,2738,1,1
1027,2700,1,1
1028,2759,1,1
1029,2754,1,1
1030,2764,1,1
1031,2748,1,1
1032,2782,1,1
1033,2790,1,1
1034,2780,1,1
1035,2743,1,1
1036,2672,1,1
1037,2809,1,1
1038,2807,1,1
1039,2749,1,1
1040,2687,1,1
1041,2765,1,1
1042,2770,1,1
1043,2777,1,1
1044,2812,1,1
1045,2800,1,1
1046,2771,1,2
1047,2803,1,1
1048,2781,1,1
1049,2761,1,1
1050,2839,1,1
1051,2840,1,1
1052,2766,1,1
1053,2815,1,1
1054,2819,1,1
1055,2844,1,1
1056,2842,1,1
1057,2808,1,1
1058,2849,1,1
1059,2852,1,1
1060,2860,1,1
1061,2753,1,1
1062,2822,1,1
1063,2799,1,1
1064,2825,1,1
1065,2863,1,1
1066,2869,1,1
1067,2851,1,1
1068,2846,1,1
1069,2878,1,1
1070,2859,1,1
1071,2874,1,1
1072,2880,1,1
1073,2733,1,1
1074,2876,1,1
1075,2845,1,1
1076,2865,1,1
1077,2796,1,1
1078,2885,1,1
1079,2883,1,1
1080,2889,1,1
1081,2894,1,1
1082,2886,1,1
1083,2792,1,1
1084,2907,1,1
1085,2890,1,1
1086,2908,1,1
1087,2887,1,1
1088,2891,1,1
1089,2915,1,1
1090,2855,1,1
1091,2875,1,1
1092,2904,1,1
1093,2804,1,1
1094,2892,1,1
1095,2783,1,1
1096,2847,1,1
1097,2918,1,1
1098,2923,1,1
1099,2930,1,2
1100,2903,1,1
1101,2843,1,1
1102,2911,1,1
1103,2862,1,1
1104,2898,1,1
1105,2936,1,1
1106,2914,1,1
1107,2925,1,1
