group,oldest_pull,pulls_total,commits_total
0,16191,1,1
1,15895,1,1
2,15964,1,1
3,16262,1,1
4,16158,1,1
5,16257,1,1
6,16278,1,1
7,16261,1,1
8,16228,1,1
9,16134,1,1
10,16120,1,1
11,16247,1,1
12,16263,1,1
13,16268,1,1
14,13990,1,1
15,14150,1,1
16,16388,1,24
17,16256,1,1
18,15954,1,1
19,16300,1,6
20,16272,1,2
21,16307,1,3
22,16210,1,1
23,16286,1,19
24,16294,1,1
25,16292,1,1
26,16311,1,12
27,16303,1,1
28,16312,1,2
29,16289,1,1
30,16224,1,1
31,16316,1,1
32,16218,1,1
33,16304,1,1
34,16317,1,1
35,16323,1,9
36,16313,1,2
37,16295,1,1
38,16233,1,1
39,16326,1,1
40,16299,1,1
41,16332,1,1
42,16339,1,2
43,16314,1,1
44,16329,1,1
45,16287,1,1
46,16341,1,1
47,16349,1,1
48,16342,1,1
49,16337,1,1
50,16356,1,1
51,16301,1,1
52,16335,1,1
53,16362,1,1
54,16363,1,2
55,16348,1,1
56,16336,1,1
57,16361,1,2
58,16368,1,2
59,16331,1,2
60,16367,1,2
61,16325,1,1
62,16379,1,5
63,16384,1,2
64,16386,1,3
65,16389,1,2
66,16390,1,3
67,16391,1,1
68,16378,1,1
69,16387,1,1
70,16407,1,2
71,16408,1,2
72,16161,1,1
73,16370,1,1
74,16412,1,7
75,16405,1,1
76,16409,1,14
77,16244,1,1
78,15898,1,1
79,16416,1,1
80,16429,1,2
81,16431,1,3
82,16414,1,6
83,16426,1,1
84,16397,1,2
85,16345,1,1
86,16439,1,1
87,15773,1,1
88,16003,1,1
89,16355,1,1
90,16451,1,2
91,16454,1,1
92,16463,1,1
93,16446,1,1
94,16432,1,1
95,16458,1,1
96,16448,1,1
97,16441,1,1
98,16465,1,5
99,16427,1,1
100,16476,1,1
101,16487,1,4
102,16076,1,1
103,16493,1,2
104,16396,1,1
105,16477,1,1
106,16495,1,1
107,16492,1,4
108,15950,1,1
109,16501,1,1
110,16468,1,1
111,16459,1,1
112,16485,1,1
113,16371,1,1
114,16509,1,1
115,16490,1,1
116,16502,1,3
117,16508,1,1
118,16517,1,3
119,16519,1,1
120,16520,1,3
121,16518,1,1
122,16515,1,1
123,16514,1,1
124,16374,1,1
125,16522,1,1
126,16470,1,1
127,16510,1,7
128,16469,1,1
129,15224,1,1
130,16529,1,1
131,16530,1,1
132,16534,1,1
133,16456,1,1
134,16298,1,1
135,16471,1,1
136,16450,1,2
137,16536,1,1
138,16242,1,1
139,16531,1,1
140,15629,1,1
141,16533,1,1
142,16523,1,1
143,16545,1,1
144,16539,1,1
145,16538,1,1
146,16288,1,1
147,16535,1,1
148,16309,1,1
149,16526,1,1
150,16483,1,1
151,16525,1,1
152,16548,1,1
153,15624,1,1
154,16558,1,1
155,16561,1,1
156,16567,1,1
157,16527,1,1
158,16566,1,1
159,16350,1,1
160,16569,1,1
161,16582,1,1
162,16559,1,1
163,16584,1,1
164,16571,1,1
165,16580,1,1
166,16590,1,1
167,14691,1,1
168,16552,1,1
169,16589,1,1
170,16474,1,1
171,16187,1,1
172,16583,1,1
173,15502,1,1
174,16587,1,1
175,16494,1,1
176,16498,1,1
177,16608,1,5
178,16577,1,1
179,16610,1,1
180,16594,1,1
181,16612,1,1
182,16624,1,4
183,16547,1,1
184,16617,1,2
185,16598,1,1
186,16330,1,1
187,16630,1,1
188,16599,1,1
189,16449,1,1
190,16553,1,1
191,16638,1,1
192,16546,1,1
193,16593,1,1
194,16622,1,1
195,16106,1,1
196,16596,1,1
197,16625,1,1
198,16579,1,1
199,16636,1,5
200,16644,1,1
201,15622,1,9
202,16619,1,1
203,16649,1,1
204,15530,1,3
205,16654,1,1
206,16618,1,1
207,16650,1,1
208,16657,1,1
209,16651,1,1
210,16578,1,1
211,16581,1,2
212,16562,1,23
213,16662,1,1
214,16668,1,1
215,16670,1,4
216,16663,1,1
217,16677,1,1
218,16682,1,1
219,16425,1,1
220,16667,1,1
221,16676,1,1
222,16681,1,1
223,16666,1,1
224,16691,1,1
225,16675,1,1
226,16499,1,1
227,16713,1,1
228,16694,1,1
229,16722,1,1
230,16719,1,1
231,16720,1,1
232,16727,1,1
233,16672,1,1
234,16728,1,1
235,16725,1,1
236,16609,1,1
237,16714,1,1
238,16708,1,1
239,16673,1,1
240,16715,1,1
241,16401,1,1
242,16704,1,1
243,16737,1,1
244,16733,1,1
245,16743,1,1
246,16655,1,1
247,16736,1,2
248,16729,1,1
249,16752,1,1
250,16750,1,5
251,16754,1,1
252,16745,1,1
253,16760,1,1
254,15727,1,1
255,16748,1,1
256,16749,1,1
257,16744,1,1
258,16747,1,1
259,16761,1,1
260,16762,1,1
261,16764,1,1
262,16766,1,1
263,16769,1,2
264,16688,1,1
265,16706,1,1
266,16771,1,1
267,16250,1,1
268,16726,1,1
269,16783,1,2
270,16774,1,1
271,16753,1,1
272,16524,1,1
273,16788,1,1
274,16773,1,1
275,16782,1,1
276,16796,1,1
277,16800,1,4
278,16620,1,1
279,16804,1,1
280,16794,1,3
281,16799,1,1
282,16790,1,1
283,16791,1,1
284,16792,1,1
285,16611,1,1
286,16841,1,1
287,16844,1,1
288,16846,1,1
289,16837,1,1
290,16842,1,1
291,16813,1,1
292,16811,1,1
293,16793,1,1
294,16815,1,1
295,16836,1,1
296,16324,1,1
297,16810,1,1
298,16809,1,1
299,16718,1,1
300,16862,1,1
301,16852,1,1
302,16801,1,1
303,16871,1,1
304,16869,1,2
305,16822,1,1
306,16874,1,1
307,16866,1,2
308,16784,1,1
309,16863,1,1
310,16865,1,1
311,16868,1,1
312,16848,1,1
313,16814,1,1
314,16885,1,1
315,16888,1,1
316,16887,1,1
317,16894,1,1
318,16902,1,1
319,16883,1,1
320,16627,1,1
321,16695,1,1
322,16904,1,1
323,16903,1,1
324,16891,1,1
325,16652,1,1
326,16798,1,1
327,16802,1,1
328,16917,1,1
329,16856,1,1
330,16916,1,1
331,16892,1,1
332,16889,1,1
333,16930,1,1
334,16914,1,1
335,16912,1,1
336,16931,1,1
337,16906,1,1
338,16944,1,1
339,16873,1,1
340,16952,1,1
341,16946,1,1
342,16951,1,1
343,16964,1,1
344,16959,1,1
345,16922,1,1
346,16966,1,1
347,14511,1,1
348,16955,1,1
349,16614,1,1
350,16970,1,1
351,16927,1,1
352,16882,1,1
353,16979,1,1
354,16958,1,1
355,16721,1,1
356,16972,1,1
357,16945,1,2
358,16897,1,1
359,16999,1,1
360,16825,1,1
361,16965,1,1
362,16973,1,1
363,16430,1,1
364,17022,1,2
365,16919,1,1
366,16436,1,1
367,16755,1,1
368,16971,1,1
369,16840,1,1
370,16860,1,1
371,17031,1,3
372,17030,1,1
373,17033,1,1
374,17036,1,1
375,17054,1,1
376,17055,1,1
377,17056,1,1
378,16995,1,1
379,16907,1,1
380,17013,1,1
381,17067,1,1
382,16956,1,1
383,16939,1,1
384,17071,1,2
385,17016,1,1
386,17073,1,1
387,17035,1,1
388,17020,1,1
389,16899,1,1
390,17002,1,1
391,17037,1,1
392,16961,1,1
393,17072,1,1
394,17063,1,1
395,17085,1,1
396,17087,1,3
397,17093,1,1
398,17100,1,1
399,17082,1,1
400,17094,1,1
401,17066,1,1
402,17102,1,1
403,17105,1,3
404,17097,1,1
405,17080,1,1
406,17103,1,1
407,17074,1,1
408,16975,1,1
409,17122,1,1
410,17005,1,1
411,17127,1,2
412,17134,1,1
413,17111,1,1
414,17135,1,1
415,17120,1,1
416,17138,1,1
417,17137,1,1
418,17142,1,1
419,17130,1,1
420,17090,1,1
421,17136,1,1
422,16700,1,1
423,17012,1,1
424,17126,1,1
425,16915,1,1
426,17164,1,2
427,17165,1,1
428,17168,1,1
429,17166,1,1
430,17169,1,1
431,17099,1,1
432,17176,1,1
433,17152,1,1
434,17150,1,1
435,17154,1,1
436,17149,1,1
437,17175,1,1
438,17183,1,1
439,17146,1,1
440,17191,1,6
441,17185,1,1
442,17194,1,1
443,17159,1,1
444,17047,1,1
445,17179,1,1
446,17199,1,1
447,17124,1,1
448,16692,1,1
449,17106,1,1
450,16934,1,1
451,17095,1,1
452,17177,1,1
453,17034,1,1
454,16881,1,1
455,16905,1,5
456,17207,1,1
457,17212,1,1
458,15808,1,1
459,17188,1,3
460,17213,1,3
461,17210,1,1
462,17216,1,1
463,16746,1,1
464,17222,1,1
465,17214,1,1
466,17230,1,1
467,17231,1,1
468,17243,1,1
469,17229,1,1
470,17233,1,1
471,17245,1,1
472,17244,1,1
473,17246,1,1
474,17228,1,1
475,17238,1,1
476,17236,1,1
477,17219,1,1
478,17249,1,1
479,17225,1,1
480,17162,1,1
481,17254,1,1
482,17255,1,1
483,17263,1,1
484,17251,1,1
485,17227,1,1
486,17262,1,1
487,17260,1,2
488,17226,1,1
489,17272,1,1
490,17279,1,2
491,17280,1,1
492,17275,1,1
493,17131,1,1
494,17261,1,1
495,17160,1,1
496,16855,1,1
497,17294,1,1
498,17297,1,1
499,17313,1,1
500,17259,1,4
501,17305,1,1
502,17312,1,1
503,17266,1,1
504,17299,1,10
505,17318,1,1
506,17320,1,1
507,17232,1,5
508,17319,1,1
509,17307,1,1
510,17331,1,1
511,17336,1,1
512,17315,1,1
513,17338,1,1
514,17340,1,1
515,17328,1,1
516,16816,1,1
517,17344,1,1
518,17330,1,1
519,17302,1,1
520,17326,1,1
521,16982,1,1
522,17321,1,1
523,17349,1,1
524,17352,1,1
525,17237,1,1
526,17361,1,1
527,17346,1,1
528,17348,1,1
529,17366,1,1
530,17358,1,1
531,17347,1,1
532,17355,1,1
533,17351,1,1
534,17370,1,1
535,17350,1,1
536,17269,1,1
537,17374,1,2
538,17345,1,1
539,17377,1,1
540,17362,1,1
541,17386,1,1
542,17223,1,1
543,17388,1,1
544,17396,1,1
545,17414,1,1
546,17408,1,1
547,17391,1,1
548,17379,1,1
549,17400,1,1
550,17423,1,1
551,17429,1,1
552,17380,1,1
553,17436,1,1
554,17428,1,3
555,17432,1,1
556,17437,1,1
557,17442,1,1
558,16992,1,1
559,17456,1,1
560,17453,1,1
561,17451,1,1
562,17427,1,1
563,17450,1,1
564,17412,1,1
565,17420,1,1
566,17474,1,1
567,17466,1,1
568,17485,1,15
569,17488,1,1
570,17298,1,1
571,17455,1,1
572,17475,1,1
573,17496,1,4
574,17499,1,1
575,17481,1,2
576,17484,1,1
577,17500,1,1
578,17464,1,1
579,17505,1,1
580,17503,1,1
581,17494,1,1
582,17483,1,1
583,17491,1,1
584,17489,1,1
585,17510,1,1
586,17514,1,1
587,17502,1,1
588,17508,1,1
589,17173,1,1
590,17443,1,1
591,17478,1,2
592,17527,1,1
593,17526,1,1
594,17516,1,1
595,17531,1,1
596,17387,1,1
597,17520,1,1
598,17511,1,1
599,17532,1,1
600,17535,1,1
601,17530,1,1
602,17540,1,1
603,17525,1,1
604,17476,1,1
605,17393,1,1
606,17544,1,1
607,17548,1,1
608,17538,1,1
609,17458,1,1
610,17550,1,1
611,17441,1,1
612,17430,1,1
613,17444,1,1
614,17553,1,1
615,17559,1,1
616,17509,1,1
617,17519,1,1
618,17554,1,1
619,17382,1,1
620,17558,1,1
621,17487,1,2
622,17195,1,1
623,17555,1,1
624,17565,1,1
625,17571,1,1
626,17570,1,1
627,17572,1,1
628,17566,1,1
629,17537,1,1
630,17574,1,1
631,17564,1,2
632,17522,1,1
633,17534,1,1
634,17577,1,1
635,17431,1,1
636,17592,1,1
637,17551,1,1
638,17605,1,9
639,17596,1,1
640,17609,1,1
641,17600,1,1
642,17616,1,1
643,17612,1,1
644,17119,1,1
645,17610,1,2
646,17595,1,1
647,17590,1,2
648,17620,1,2
649,17583,1,1
650,17517,1,1
651,17628,1,4
652,17507,1,1
653,17611,1,1
654,17624,1,1
655,17635,1,2
656,17579,1,1
657,17636,1,1
658,17638,1,2
659,17639,1,1
660,17602,1,1
661,17625,1,1
662,17642,1,1
663,17647,1,1
664,16785,1,1
665,17648,1,1
666,17623,1,1
667,17641,1,1
668,17631,1,1
669,17661,1,1
670,15894,1,1
671,17664,1,1
672,17667,1,1
673,17650,1,1
674,17671,1,1
675,17677,1,3
676,17674,1,1
677,17666,1,1
678,17673,1,1
679,17646,1,1
680,17678,1,3
681,17682,1,1
682,17683,1,1
683,17692,1,1
684,17411,1,1
685,17695,1,1
686,17654,1,1
687,17698,1,1
688,17438,1,1
689,17680,1,1
690,17518,1,1
691,17706,1,1
692,17615,1,1
693,17721,1,1
694,17701,1,1
695,17722,1,1
696,17712,1,1
697,17711,1,1
698,17694,1,1
699,17729,1,2
700,17691,1,1
701,17730,1,1
702,17738,1,1
703,17681,1,1
704,17736,1,1
705,17742,1,1
706,17589,1,1
707,17740,1,1
708,17749,1,8
709,17744,1,1
710,17732,1,1
711,16949,1,1
712,17750,1,1
713,17754,1,1
714,17739,1,1
715,17756,1,1
716,17759,1,1
717,17761,1,1
718,17723,1,1
719,17753,1,1
720,17369,1,1
721,17607,1,1
722,17748,1,1
723,17757,1,1
724,17765,1,1
725,17766,1,1
726,17767,1,3
727,17769,1,1
728,17719,1,1
729,17772,1,1
730,17662,1,1
731,17669,1,1
732,17670,1,1
733,17660,1,1
734,17715,1,1
735,17778,1,1
736,17777,1,1
737,17773,1,1
738,16954,1,1
739,17727,1,1
740,17708,1,1
741,17781,1,1
742,17784,1,1
743,17713,1,1
744,17785,1,1
745,17795,1,1
746,17802,1,10
747,17789,1,1
748,17801,1,1
749,17803,1,1
750,17816,1,1
751,17827,1,1
752,17758,1,1
753,17782,1,1
754,17270,1,1
755,17690,1,1
756,17847,1,1
757,17838,1,1
758,17852,1,1
759,17844,1,1
760,17856,1,1
761,17857,1,1
762,17866,1,1
763,17806,1,1
764,17864,1,1
765,17862,1,1
766,17798,1,1
767,17865,1,1
768,17859,1,1
769,16832,1,1
770,17832,1,1
771,17871,1,1
772,17885,1,1
773,17887,1,1
774,17672,1,1
775,17892,1,1
776,17880,1,1
777,17896,1,3
778,17853,1,1
779,17894,1,1
780,17898,1,1
781,17900,1,1
782,17901,1,1
783,17893,1,1
784,17911,1,1
785,17910,1,1
786,17899,1,1
787,17908,1,1
788,17915,1,1
789,16461,1,1
790,17922,1,1
791,17322,1,1
792,17937,1,1
793,17913,1,1
794,17906,1,4
795,17163,1,1
796,17888,1,1
797,17755,1,2
798,17653,1,1
799,17608,1,2
800,17834,1,1
801,17927,1,1
802,17751,1,1
803,17676,1,2
804,17731,1,1
805,17807,1,2
806,17557,1,1
807,17905,1,2
808,17943,1,2
809,17953,1,1
810,17955,1,1
811,17956,1,1
812,17946,1,1
813,17960,1,1
814,17950,1,1
815,17966,1,1
816,17965,1,1
817,17968,1,1
818,17969,1,1
819,17979,1,1
820,17883,1,5
821,17919,1,1
822,17971,1,1
823,17975,1,1
824,17964,1,1
825,17963,1,1
826,17974,1,2
827,17981,1,1
828,17985,1,1
829,17967,1,1
830,17970,1,1
831,17986,1,1
832,17805,1,1
833,17482,1,1
834,17990,1,1
835,18000,1,1
836,18004,1,1
837,18013,1,3
838,18002,1,1
839,17716,1,1
840,18015,1,1
841,18028,1,1
842,18016,1,1
843,18025,1,2
844,18024,1,1
845,18029,1,1
846,18039,1,1
847,18031,1,1
848,18040,1,1
849,18042,1,1
850,18021,1,1
851,18053,1,3
852,18043,1,1
853,18044,1,2
854,18038,1,1
855,18055,1,1
856,17992,1,1
857,18041,1,1
858,18059,1,1
859,18018,1,1
860,17977,1,1
861,18012,1,1
862,18058,1,1
863,18057,1,1
864,18072,1,1
865,18048,1,1
866,18050,1,1
867,18049,1,2
868,18076,1,1
869,18032,1,1
870,18056,1,1
871,18062,1,1
872,17957,1,1
873,18087,1,1
874,18089,1,1
875,18069,1,2
876,18086,1,1
877,18090,1,1
878,16674,1,1
879,18102,1,1
880,18073,1,1
881,18105,1,1
882,18113,1,1
883,18112,1,1
884,17912,1,1
885,18114,1,1
886,18107,1,1
887,18108,1,1
888,18017,1,1
889,18124,1,1
890,18128,1,1
891,18121,1,1
892,18130,1,1
893,18139,1,1
894,18142,1,1
895,18152,1,1
896,18135,1,1
897,18157,1,1
898,18151,1,1
