issue_no,actor,event,event_id,created_at
11391,ayende,subscribed,3983880578,2020-11-11 13:39:27
11391,ayende,mentioned,3983880573,2020-11-11 13:39:27
11391,ayende,closed,3982598407,2020-11-11 07:55:21
11391,JohnGalt1717,subscribed,3982598297,2020-11-11 07:55:19
11391,JohnGalt1717,mentioned,3982598291,2020-11-11 07:55:19
11390,ayende,closed,3982585845,2020-11-11 07:51:22
11392,ayende,closed,3982579647,2020-11-11 07:49:22
11390,iftahbe,subscribed,3979613484,2020-11-10 15:47:59
11390,iftahbe,mentioned,3979613478,2020-11-10 15:47:59
11390,ayende,subscribed,3979613471,2020-11-10 15:47:59
11390,ayende,mentioned,3979613466,2020-11-10 15:47:59
11390,ayende,subscribed,3979602103,2020-11-10 15:45:39
11390,ayende,mentioned,3979602093,2020-11-10 15:45:39
11391,ayende,subscribed,3979508883,2020-11-10 15:27:42
11391,ayende,mentioned,3979508881,2020-11-10 15:27:41
11314,garayx,assigned,3919336472,2020-10-26 07:53:18
11314,grisha-kotler,assigned,3919336461,2020-10-26 07:53:17
11264,ayende,closed,3918101060,2020-10-25 18:37:26
11261,JohnGalt1717,subscribed,3917721086,2020-10-25 11:34:24
11261,JohnGalt1717,mentioned,3917721085,2020-10-25 11:34:24
11261,gregolsky,subscribed,3913648827,2020-10-23 12:13:38
11261,gregolsky,mentioned,3913648826,2020-10-23 12:13:38
11261,gregolsky,subscribed,3912183738,2020-10-23 05:36:55
11261,gregolsky,mentioned,3912183735,2020-10-23 05:36:55
11261,gregolsky,assigned,3912183229,2020-10-23 05:36:39
11208,ppekrol,subscribed,3911243245,2020-10-22 21:36:42
11208,ppekrol,mentioned,3911243240,2020-10-22 21:36:42
11208,lucascebertin,subscribed,3908223128,2020-10-22 10:06:53
11208,lucascebertin,mentioned,3908223125,2020-10-22 10:06:53
11208,ppekrol,subscribed,3904984040,2020-10-21 17:00:37
11208,ppekrol,mentioned,3904984037,2020-10-21 17:00:37
11261,jhancock4d,subscribed,3902997775,2020-10-21 10:03:04
11261,jhancock4d,mentioned,3902997773,2020-10-21 10:03:04
11261,JohnGalt1717,subscribed,3902997771,2020-10-21 10:03:04
11261,JohnGalt1717,mentioned,3902997766,2020-10-21 10:03:04
11208,ppekrol,closed,3899054807,2020-10-20 14:27:31
11208,ppekrol,subscribed,3898979008,2020-10-20 14:14:27
11208,ppekrol,mentioned,3898979001,2020-10-20 14:14:27
11208,lucascebertin,subscribed,3898948056,2020-10-20 14:08:50
11208,lucascebertin,mentioned,3898948050,2020-10-20 14:08:50
11208,ppekrol,subscribed,3898876157,2020-10-20 13:56:33
11208,ppekrol,mentioned,3898876147,2020-10-20 13:56:33
11208,ayende,subscribed,3898876135,2020-10-20 13:56:33
11208,ayende,mentioned,3898876122,2020-10-20 13:56:33
11208,lucascebertin,subscribed,3898669487,2020-10-20 13:20:36
11208,lucascebertin,mentioned,3898669481,2020-10-20 13:20:36
11208,ppekrol,subscribed,3898659507,2020-10-20 13:18:36
11208,ppekrol,mentioned,3898659505,2020-10-20 13:18:36
11208,ayende,subscribed,3898659499,2020-10-20 13:18:36
11208,ayende,mentioned,3898659487,2020-10-20 13:18:36
11208,lucascebertin,subscribed,3898568800,2020-10-20 13:00:36
11208,lucascebertin,mentioned,3898568792,2020-10-20 13:00:36
11208,ppekrol,assigned,3891856903,2020-10-19 07:47:34
11264,JohnGalt1717,subscribed,3886076953,2020-10-16 12:14:29
11264,JohnGalt1717,mentioned,3886076951,2020-10-16 12:14:29
11261,JohnGalt1717,subscribed,3886048570,2020-10-16 12:07:10
11261,JohnGalt1717,mentioned,3886048564,2020-10-16 12:07:10
11261,grisha-kotler,assigned,3884761574,2020-10-16 06:26:16
11261,garayx,assigned,3884761351,2020-10-16 06:26:12
11108,ppekrol,closed,3813499861,2020-09-28 09:17:28
11108,danielmarbach,subscribed,3788101878,2020-09-21 11:07:59
11108,danielmarbach,mentioned,3788101874,2020-09-21 11:07:59
1,Danielle9897,referenced,3772998291,2020-09-16 12:43:38
11108,arekpalinski,subscribed,3763205337,2020-09-14 13:01:31
11108,arekpalinski,mentioned,3763205334,2020-09-14 13:01:31
11108,danielmarbach,renamed,3762431468,2020-09-14 09:44:58
11064,ayende,subscribed,3716834168,2020-09-01 21:05:45
11064,ayende,mentioned,3716834163,2020-09-01 21:05:45
11064,ayende,closed,3714971961,2020-09-01 13:36:48
11064,ravendb,user_blocked,3713495566,2020-09-01 08:14:08
11062,ayende,closed,3702966027,2020-08-28 08:40:05
11060,gitfer,closed,3702942106,2020-08-28 08:33:11
11060,gitfer,subscribed,3702787103,2020-08-28 07:47:33
11060,gitfer,mentioned,3702787101,2020-08-28 07:47:33
11004,ayende,closed,3698719485,2020-08-27 09:38:16
2,ppekrol,referenced,3693448493,2020-08-26 07:45:56
11004,danielmarbach,subscribed,3693337933,2020-08-26 07:14:32
11004,danielmarbach,mentioned,3693337928,2020-08-26 07:14:32
11004,ayende,subscribed,3665243526,2020-08-18 08:39:18
11004,ayende,mentioned,3665243524,2020-08-18 08:39:18
11004,grisha-kotler,assigned,3654901813,2020-08-14 06:08:32
11004,ayende,assigned,3654901806,2020-08-14 06:08:32
4,ppekrol,referenced,3646345540,2020-08-12 07:23:38
3,ppekrol,referenced,3646345536,2020-08-12 07:23:38
2,ppekrol,referenced,3646345533,2020-08-12 07:23:38
1,ppekrol,referenced,3646345526,2020-08-12 07:23:37
3,Danielle9897,referenced,3643351303,2020-08-11 14:06:09
2,Danielle9897,referenced,3643351298,2020-08-11 14:06:09
10922,ayende,closed,3580521291,2020-07-23 15:26:33
10776,Pilchie,subscribed,3501035131,2020-07-01 07:18:36
10776,Pilchie,mentioned,3501035124,2020-07-01 07:18:35
10776,ppekrol,closed,3501035115,2020-07-01 07:18:35
10776,ppekrol,assigned,3501011346,2020-07-01 07:11:36
10714,gxsham,closed,3467092041,2020-06-22 08:04:19
10486,ppekrol,closed,3279460569,2020-04-28 09:40:43
10486,arekpalinski,assigned,3272326831,2020-04-25 22:07:40
10486,arekpalinski,unassigned,3272326732,2020-04-25 22:07:32
10486,arekpalinski,assigned,3272308979,2020-04-25 21:39:45
10365,feO2x,closed,3152548186,2020-03-22 10:54:57
21,tralivali1234,referenced,3096340540,2020-03-04 12:48:14
20,tralivali1234,referenced,3096340538,2020-03-04 12:48:14
10141,ppekrol,closed,3087710161,2020-03-02 12:19:28
10141,aviviadi,assigned,3005560487,2020-02-04 10:39:08
10044,ppekrol,closed,2969828499,2020-01-22 12:18:16
10091,ayende,closed,2969016812,2020-01-22 07:55:30
10044,awyl,subscribed,2967878408,2020-01-21 21:42:16
10044,awyl,mentioned,2967878406,2020-01-21 21:42:15
10044,awyl,subscribed,2967360324,2020-01-21 18:50:07
10044,awyl,mentioned,2967360321,2020-01-21 18:50:07
10044,ppekrol,reopened,2967360314,2020-01-21 18:50:07
10044,ppekrol,closed,2938950271,2020-01-10 15:44:44
